# frame tx ty tz r00 r01 r02 r10 r11 r12 r20 r21 r22
0 0 0 0 1 0 0 0 1 0 0 0 1
1 -0.0725985 -0.0417117 0.996489 0.999757 0.000527785 0.0220578 -0.000607635 0.999993 0.00361351 -0.0220558 -0.00362603 0.99975
2 -0.293753 -0.317472 1.93193 0.998813 0.00783839 0.0480769 -0.00747062 0.999941 -0.00782451 -0.0481354 0.00745606 0.998813
3 -0.59902 -0.413486 2.87934 0.996426 -0.0113143 0.0837056 0.0129521 0.999735 -0.0190492 -0.0834678 0.0200653 0.996308
4 -0.604522 -0.351749 3.87742 0.999766 -0.00791897 0.0201294 0.00845865 0.999603 -0.0268682 -0.0199086 0.0270322 0.999436
5 -0.845495 -0.485137 4.83874 0.999185 0.0128439 -0.0382737 -0.0137517 0.999628 -0.0235498 0.037957 0.0240569 0.99899
6 -1.24475 -0.576867 5.75098 0.999362 -0.010856 -0.0340371 0.00995884 0.999601 -0.0264171 0.0343103 0.0260612 0.999071
7 -1.54112 -0.895387 6.65137 0.999152 0.0281096 0.0300834 -0.0271899 0.999163 -0.0305555 -0.0309171 0.0297116 0.99908
8 -1.8259 -1.0283 7.60071 0.9994 -0.00450119 0.0343456 0.00608678 0.998914 -0.0462018 -0.0341004 0.0463831 0.998342
9 -2.17704 -1.23519 8.51389 0.995719 -0.00608402 -0.0922322 -9.63071e-05 0.997763 -0.0668563 0.0924326 0.0665789 0.993491
10 -2.46507 -1.50925 9.43145 0.989805 -0.0246014 -0.140292 0.0170952 0.99837 -0.0544611 0.141403 0.0515075 0.988611
11 -2.63902 -1.64313 10.4071 0.951069 -0.0024309 -0.30897 -0.0108513 0.999089 -0.0412628 0.308789 0.0425965 0.950176
12 -2.80997 -1.78832 11.3816 0.988438 0.0486693 -0.143602 -0.0628328 0.993415 -0.0958031 0.137994 0.103718 0.984987
13 -3.80064 -1.8859 11.4768 0.992079 0.0389011 -0.119439 -0.047392 0.996484 -0.0690918 0.116331 0.074205 0.990435
14 -3.93661 -2.01854 12.4585 0.997931 0.0227563 -0.060127 -0.0261314 0.998091 -0.0559559 0.0587388 0.0574114 0.996621
15 -4.08484 -2.21328 13.4281 0.971189 0.0382166 -0.235225 -0.0474802 0.998299 -0.0338426 0.233532 0.0440361 0.971352
16 -3.87873 -2.35832 14.3959 0.947466 0.0883396 -0.307415 -0.12274 0.98794 -0.0943937 0.295369 0.127167 0.946882
17 -3.79634 -2.55339 15.3732 0.928549 0.113484 -0.353437 -0.147885 0.986395 -0.0718043 0.34048 0.118942 0.932698
18 -4.12388 -2.6903 16.308 0.971104 0.0887474 -0.221542 -0.104661 0.992627 -0.0611333 0.214483 0.0825536 0.973233
19 -4.20511 -2.85214 17.2915 0.956011 -0.00075029 -0.29333 -0.0263631 0.99573 -0.0884685 0.292144 0.0923099 0.951909
20 -4.71636 -2.85676 18.1509 0.905877 0.0587065 -0.419452 -0.106217 0.990188 -0.0908081 0.410005 0.126814 0.903224
21 -4.67096 -3.09663 19.1207 0.900733 0.194124 -0.388582 -0.258698 0.958363 -0.120893 0.348934 0.209418 0.913449
22 -4.73853 -3.1383 20.1175 0.899858 0.11481 -0.420801 -0.174398 0.97897 -0.105842 0.3998 0.16863 0.900957
23 -4.06445 -3.17914 20.8551 0.914707 0.0367413 -0.402444 -0.0959511 0.987126 -0.127965 0.392562 0.155666 0.906456
24 -4.71775 -3.55295 21.5134 0.768931 0.0880092 -0.633245 -0.192356 0.976433 -0.097867 0.609708 0.197062 0.767739
25 -4.61117 -4.0172 22.3927 0.624935 0.115328 -0.772111 -0.280304 0.956225 -0.0840444 0.728619 0.268948 0.629905
26 -4.27784 -4.03569 23.3353 0.546849 0.101937 -0.831003 -0.285355 0.955823 -0.0705323 0.787102 0.275702 0.551779
27 -4.2262 -4.20971 24.3187 0.448689 0.0606942 -0.891625 -0.259805 0.96346 -0.0651566 0.85509 0.260884 0.448062
28 -4.17039 -4.40141 25.2986 0.362455 0.0293288 -0.93154 -0.270267 0.959864 -0.0749384 0.891954 0.278927 0.355834
29 -3.37548 -4.34621 25.9028 0.286662 0.0448619 -0.956981 -0.291566 0.955604 -0.0425408 0.912586 0.291218 0.287016
30 -2.78773 -4.60904 26.668 0.217161 0.0393623 -0.975342 -0.278412 0.96018 -0.0232383 0.93559 0.276594 0.219473
31 -2.49227 -4.60344 27.6233 0.130922 0.0325639 -0.990858 -0.327126 0.944902 -0.0121697 0.935867 0.325729 0.134361
32 -1.67618 -4.42609 28.1733 0.0935916 -0.0185185 -0.995438 -0.28015 0.958939 -0.0441793 0.955383 0.283006 0.0845607
33 -0.726131 -4.19703 28.3853 0.01365 -0.00065729 -0.999907 -0.27135 0.962471 -0.00433695 0.962384 0.271383 0.0129594
34 0.20068 -4.30764 28.7442 -0.0144979 0.0090205 -0.999854 -0.263768 0.964505 0.0125262 0.964477 0.263911 -0.011604
35 1.08036 -4.06039 28.338 -0.136935 -0.0346821 -0.989973 -0.221158 0.975231 -0.00357461 0.965576 0.218451 -0.141213
36 1.59719 -3.69177 27.5653 -0.197738 -0.0194198 -0.980062 -0.209322 0.97758 0.0228623 0.957645 0.209669 -0.19737
37 2.58042 -3.51909 27.5066 -0.232222 -0.0248259 -0.972346 -0.227122 0.973423 0.0293892 0.945774 0.227666 -0.231688
38 3.57705 -3.55593 27.5799 -0.294904 0.012152 -0.95545 -0.223741 0.971243 0.0814113 0.928963 0.237781 -0.283704
39 4.57103 -3.45211 27.6149 -0.246435 0.0644855 -0.967012 -0.230528 0.965246 0.123116 0.941343 0.253263 -0.223004
40 5.56712 -3.37095 27.6497 -0.308543 0.0142321 -0.951104 -0.253123 0.962607 0.0965188 0.916913 0.270527 -0.293404
41 6.54501 -3.28731 27.8414 -0.332451 -0.00452391 -0.94311 -0.218646 0.973114 0.0724059 0.917426 0.230278 -0.324502
42 7.52856 -3.18277 27.6942 -0.300125 0.10006 -0.948638 -0.234262 0.956296 0.174982 0.924687 0.274746 -0.263568
43 8.48347 -2.97044 27.4866 -0.18823 0.127472 -0.973818 -0.181994 0.969841 0.162129 0.965115 0.207746 -0.159354
44 9.47329 -2.87582 27.3803 -0.266662 0.121858 -0.956055 -0.165297 0.971494 0.16993 0.949509 0.203347 -0.238918
45 10.4408 -2.93669 27.6256 -0.263819 0.0455639 -0.963495 -0.198745 0.974882 0.100522 0.943875 0.21801 -0.248137
46 11.2781 -3.21589 28.0957 -0.214369 0.0602015 -0.974896 -0.180182 0.978532 0.100046 0.95999 0.197106 -0.19892
47 11.6821 -2.3247 27.8894 -0.0833121 -0.0310189 -0.996041 0.192918 0.980105 -0.0466589 0.977672 -0.196042 -0.0756705
48 12.6134 -2.55085 28.175 -0.0720382 -0.0673509 -0.995125 0.197179 0.977065 -0.0804025 0.977717 -0.20201 -0.0571059
49 13.4353 -3.02892 28.4847 -0.0724331 -0.117499 -0.990428 0.163849 0.978143 -0.128024 0.983823 -0.171554 -0.0515978
50 14.224 -3.54359 28.821 -0.149579 -0.098323 -0.983849 0.167293 0.97818 -0.123191 0.974494 -0.183018 -0.129867
51 15.1432 -3.68937 29.1867 -0.195725 -0.0692444 -0.978211 0.184485 0.977094 -0.106078 0.963149 -0.201228 -0.178467
52 15.9771 -3.72395 28.6359 -0.156874 -0.0541905 -0.986131 0.184408 0.979326 -0.0831523 0.97025 -0.194895 -0.143638
53 16.9349 -3.79931 28.3585 -0.19751 -0.0893288 -0.976222 0.208957 0.969117 -0.130955 0.957772 -0.229854 -0.172744
