# frame tx ty tz r00 r01 r02 r10 r11 r12 r20 r21 r22
0 0 0 0 1 0 0 0 1 0 0 0 1
1 0.165859 0.342731 0.924676 0.999653 -0.00975375 -0.024457 0.00981319 0.999949 0.00231178 0.0244332 -0.00255098 0.999698
2 0.777552 0.294875 1.71432 0.9991 -0.0293734 -0.0306036 0.0293597 0.999569 -0.000895349 0.0306167 -3.96982e-06 0.999531
3 1.5775 0.342458 2.3125 0.996329 -0.0560326 -0.0647142 0.054539 0.998208 -0.0246218 0.0659779 0.0210019 0.9976
4 2.55975 0.311435 2.49748 0.998099 -0.0583005 -0.0199809 0.058254 0.998298 -0.00289968 0.0201159 0.0017302 0.999796
5 3.51695 0.200214 2.76468 0.997336 -0.0722927 0.00973708 0.0721468 0.997287 0.0145864 -0.0107652 -0.0138451 0.999846
6 4.51477 0.141617 2.79521 0.9962 -0.0847623 -0.0200423 0.0846339 0.996386 -0.00716764 0.0205774 0.00544414 0.999773
7 5.48637 0.0450668 3.01125 0.992813 -0.0607057 -0.103134 0.0592089 0.998092 -0.0175161 0.104 0.0112838 0.994513
8 6.45284 0.0239381 3.26717 0.986144 -0.0603833 -0.15451 0.0608523 0.998145 -0.00169706 0.154326 -0.00772873 0.98799
9 7.44874 -0.0563817 3.30869 0.990649 -0.0720262 -0.11587 0.0774688 0.99606 0.0431693 0.112305 -0.051742 0.992326
10 8.42798 -0.0625203 3.51131 0.992086 -0.095123 -0.0819595 0.0975098 0.994905 0.0256193 0.0791049 -0.0334084 0.996306
11 9.3835 -0.180974 3.78139 0.990534 -0.103176 -0.0905369 0.101908 0.994621 -0.0185284 0.0919616 0.00912657 0.995721
12 10.3373 -0.250879 4.0736 0.990203 -0.0713042 -0.12006 0.0670745 0.996989 -0.0389151 0.122474 0.0304809 0.992004
13 11.2604 -0.288032 4.45625 0.994983 -0.0902829 -0.0431139 0.0896741 0.995845 -0.0158558 0.0443663 0.01191 0.998944
14 12.1966 -0.473952 4.75453 0.994147 -0.106726 0.0167471 0.106459 0.994187 0.0160887 -0.0183668 -0.0142117 0.99973
15 13.0956 -0.500596 5.1918 0.993441 -0.107492 0.039003 0.107755 0.994166 -0.00468512 -0.0382718 0.00885716 0.999228
16 13.8177 -0.661076 5.86471 0.994875 -0.0965967 0.0298666 0.0975404 0.994719 -0.0319419 -0.0266234 0.0346914 0.999043
17 14.6741 -0.762573 6.37098 0.986975 -0.117627 0.109741 0.119186 0.992842 -0.0077255 -0.108047 0.0207045 0.99393
18 15.5249 -0.955459 6.85971 0.967737 -0.117709 0.222778 0.119317 0.992836 0.00627715 -0.221921 0.0205066 0.974849
19 16.358 -1.03281 7.40741 0.957357 -0.167888 0.235118 0.175528 0.984404 -0.0117942 -0.229471 0.052561 0.971895
20 17.1675 -1.32728 7.91526 0.953066 -0.125742 0.275416 0.136696 0.990393 -0.0208628 -0.270147 0.0575318 0.961099
21 18.0085 -1.42185 8.44803 0.924043 -0.150855 0.351266 0.165252 0.986188 -0.0111843 -0.344728 0.0683824 0.936209
22 18.8368 -1.65815 8.95612 0.826352 -0.157298 0.54074 0.189966 0.981779 -0.00470949 -0.530146 0.106614 0.841177
23 19.6199 -1.76981 9.56791 0.749227 -0.153177 0.644356 0.206569 0.978402 -0.00760232 -0.629275 0.1388 0.764688
24 20.3415 -1.92769 10.242 0.745632 -0.115939 0.656194 0.188043 0.981334 -0.0402878 -0.639275 0.153433 0.753516
25 20.9455 -2.10043 11.02 0.681897 -0.15276 0.715318 0.234466 0.971994 -0.015936 -0.692851 0.178584 0.698617
26 21.5348 -2.26345 11.8113 0.618782 -0.176179 0.765552 0.255711 0.966625 0.0157651 -0.742779 0.186005 0.643181
27 22.0724 -2.45502 12.6325 0.529514 -0.156588 0.833724 0.225314 0.973475 0.0397349 -0.817832 0.16681 0.55075
28 22.5317 -2.67173 13.4939 0.49102 -0.159373 0.856446 0.249426 0.967684 0.0370714 -0.834678 0.195417 0.514904
29 22.8219 -2.8478 14.4345 0.487707 -0.146432 0.860639 0.272688 0.962059 0.00916084 -0.829327 0.230218 0.509133
30 23.3947 -2.9088 15.2519 0.464833 -0.175718 0.867786 0.264687 0.962866 0.0531895 -0.844909 0.204968 0.494083
31 23.7789 -3.07674 16.1598 0.448124 -0.197757 0.871824 0.256361 0.962694 0.0865978 -0.856425 0.184695 0.482104
32 24.3658 -3.34198 15.3949 0.498619 -0.247704 0.830675 0.311003 0.945619 0.0952977 -0.809108 0.210825 0.54854
33 25.1069 -3.95132 15.1128 0.575421 -0.334595 0.746281 0.341239 0.927486 0.152726 -0.743267 0.166779 0.647872
34 25.5918 -4.29795 15.9158 0.527923 -0.298652 0.79505 0.340429 0.932049 0.124065 -0.778078 0.205161 0.59372
35 25.1796 -4.23025 16.8243 0.582982 -0.360224 0.728266 0.372961 0.914974 0.154018 -0.721825 0.181825 0.667763
