# frame tx ty tz r00 r01 r02 r10 r11 r12 r20 r21 r22
0 0 0 0 1 0 0 0 1 0 0 0 1
1 -0.428678 -0.0590332 -0.901527 0.99692 -0.0556925 0.055218 0.055257 0.998428 0.00938358 -0.0556538 -0.0063035 0.99843
2 0.295839 -0.102675 -0.213652 0.996519 -0.0508898 0.0660313 0.0509304 0.998702 0.0010692 -0.066 0.00229752 0.997817
3 0.714454 -0.15606 0.692941 0.993428 -0.012559 0.113771 0.00749758 0.998968 0.044807 -0.114217 -0.0436595 0.992496
4 0.221954 -0.270685 1.55567 0.993966 -0.0235714 0.107126 0.0217124 0.999593 0.0184871 -0.107518 -0.0160496 0.994074
5 0.518944 -0.413666 2.49979 0.996729 -0.0483874 0.0647359 0.0447848 0.997426 0.0559902 -0.0672785 -0.0529079 0.99633
6 -0.025215 -0.536396 3.32974 0.996746 -0.0275105 0.0757656 0.0244919 0.99888 0.0404862 -0.0767946 -0.0384988 0.996303
7 -0.778994 -0.969799 3.82369 0.982541 -0.0391667 0.181876 0.032942 0.998768 0.0371217 -0.183106 -0.0304822 0.982621
8 -1.38032 -0.918715 4.62106 0.941729 -0.017871 0.335897 0.00353204 0.999058 0.0432511 -0.336353 -0.0395444 0.940905
9 -1.69698 -0.85197 5.56724 0.899513 -0.0394456 0.435109 0.0277324 0.999063 0.0332398 -0.436012 -0.017833 0.899764
10 -2.38192 -0.987159 6.28319 0.835313 -0.117382 0.537097 0.0961279 0.993075 0.0675335 -0.541305 -0.00478163 0.840813
11 -2.68827 -1.14425 7.22206 0.774635 -0.103098 0.623948 0.126864 0.9919 0.00639378 -0.619553 0.0742035 0.78144
12 -3.21013 -1.15544 8.07502 0.74879 -0.0472928 0.661118 0.0956757 0.994717 -0.0372067 -0.655866 0.091113 0.749358
13 -3.6508 -1.46068 8.91919 0.648935 -0.0755519 0.757084 0.0919078 0.995555 0.020571 -0.755273 0.0562327 0.652994
14 -4.4495 -1.43295 9.52028 0.659778 -0.118288 0.742092 0.109899 0.992104 0.0604304 -0.743381 0.0416846 0.667568
