# frame tx ty tz r00 r01 r02 r10 r11 r12 r20 r21 r22
0 0 0 0 1 0 0 0 1 0 0 0 1
1 -0.13381 -0.137613 0.981406 0.999931 -0.0117389 0.000193086 0.0117365 0.999886 0.00948997 -0.000304466 -0.00948705 0.999955
2 -0.157942 -0.0298627 1.97529 0.998566 0.00477629 -0.0533275 -0.00386771 0.999846 0.0171279 0.053401 -0.016897 0.99843
3 -1.13466 0.0313953 2.18088 0.973521 0.0406806 -0.224947 -0.0319669 0.998596 0.0422456 0.226349 -0.0339362 0.973455
4 -2.01864 -0.217592 2.57659 0.940316 0.104509 -0.323858 -0.113569 0.993488 -0.00914967 0.320792 0.0453839 0.946062
5 -2.37313 -0.452652 3.48163 0.925594 0.160282 -0.342908 -0.178316 0.983738 -0.0214989 0.333886 0.0810453 0.939123
6 -2.94469 -1.07723 4.01381 0.834785 0.290021 -0.467998 -0.32266 0.946451 0.0109806 0.446122 0.141838 0.883661
7 -3.42661 -1.70256 4.62758 0.746331 0.327616 -0.57936 -0.397731 0.917479 0.00645901 0.533667 0.225609 0.815046
8 -4.03808 -2.24129 5.20713 0.572862 0.390087 -0.720875 -0.509703 0.858297 0.0594018 0.641897 0.333403 0.690515
9 -4.81431 -2.81193 5.47515 0.511505 0.451854 -0.730883 -0.586547 0.805196 0.0873049 0.627953 0.38404 0.676896
10 -5.06741 -3.38712 6.25303 0.389432 0.48677 -0.781919 -0.634234 0.757326 0.155582 0.6679 0.435331 0.603653
11 -5.07544 -4.0897 6.96459 0.271186 0.556398 -0.785416 -0.674961 0.691672 0.25694 0.686211 0.460447 0.563119
12 -5.03461 -4.68777 7.76499 0.159601 0.560387 -0.812708 -0.701799 0.643392 0.305818 0.694266 0.521548 0.495965
13 -5.14071 -5.38374 8.47518 -0.0475103 0.598581 -0.799652 -0.711806 0.541349 0.447519 0.700767 0.590459 0.400354
14 -5.03738 -5.96303 9.28373 -0.197716 0.549754 -0.81159 -0.724421 0.47583 0.498798 0.660395 0.686554 0.304174
15 -4.62678 -6.57749 9.95741 -0.328929 0.547878 -0.769179 -0.693918 0.412234 0.590374 0.640534 0.727938 0.244587
