# frame tx ty tz r00 r01 r02 r10 r11 r12 r20 r21 r22
0 0 0 0 1 0 0 0 1 0 0 0 1
1 -0.164681 -0.388546 0.906594 0.997715 -0.0251996 -0.0626899 0.0242194 0.999573 -0.0163462 0.0630751 0.0147905 0.997899
2 0.206083 -0.449315 1.83333 0.994642 -0.0316588 -0.0984145 0.0289807 0.999173 -0.0285238 0.0992361 0.0255188 0.994737
3 0.436825 -0.458064 2.80631 0.994399 -0.0459211 -0.0951943 0.0413466 0.997919 -0.0494834 0.0972685 0.0452702 0.994228
4 0.784487 -0.74571 3.69871 0.999183 0.0308269 0.0261255 -0.0308083 0.999525 -0.00111661 -0.0261475 0.00031082 0.999658
5 1.10242 -0.822999 4.64367 0.997111 0.0134196 0.0747582 -0.0124111 0.999826 -0.0139386 -0.0749323 0.0129706 0.997104
6 1.2956 -0.852147 5.6244 0.999909 -0.0125606 -0.00485372 0.0121396 0.996821 -0.0787383 0.00582729 0.0786722 0.996884
7 1.57602 -1.02057 6.56939 0.999134 -0.0247582 -0.0334426 0.023069 0.998484 -0.0499844 0.0346294 0.0491696 0.99819
8 1.78342 -1.1294 7.54157 0.997881 -0.0179759 0.0625386 0.0229424 0.996561 -0.0796259 -0.0608922 0.0808919 0.994861
9 1.75093 -1.36264 8.51345 0.975651 -0.0184181 0.218554 0.0257597 0.999194 -0.0307898 -0.21781 0.03567 0.975339
10 1.85186 -1.48279 9.50106 0.947934 -0.0624413 0.312286 0.0628391 0.997985 0.0087999 -0.312206 0.011282 0.949947
11 1.96487 -1.84615 10.4258 0.94113 -0.0635524 0.332018 0.0659774 0.997813 0.00397623 -0.331545 0.0181635 0.943265
12 2.91499 -1.77267 10.7289 0.727477 -0.163119 0.66646 0.11973 0.986606 0.110784 -0.675604 -0.000797672 0.737264
13 2.23171 -1.80164 11.4585 0.631063 -0.0990227 0.769386 0.104955 0.993598 0.0417942 -0.768599 0.0543758 0.637416
14 1.69107 -1.98568 12.2794 0.573915 -0.193987 0.795607 0.197092 0.975701 0.0957238 -0.794844 0.101871 0.598202
15 1.18432 -2.09567 13.1344 0.477956 -0.1583 0.864002 0.18728 0.979375 0.075837 -0.858186 0.125564 0.497745
16 0.642197 -2.2939 13.951 0.330316 -0.165597 0.92923 0.145212 0.981684 0.123326 -0.932633 0.0941991 0.348313
17 0.163021 -2.61681 14.7672 0.256702 -0.150206 0.954747 0.135906 0.983644 0.118211 -0.956887 0.0994112 0.272917
18 -0.776933 -2.68107 14.432 0.285945 -0.188471 0.939529 0.173061 0.974502 0.142815 -0.942489 0.121759 0.311271
19 -1.74912 -2.6877 14.6661 0.234401 -0.162558 0.958452 0.169778 0.977614 0.124286 -0.9572 0.133591 0.256753
20 -2.42546 -2.95409 15.3528 0.142606 -0.221489 0.964679 0.165736 0.966223 0.197343 -0.975805 0.13174 0.174498
21 -3.27383 -3.18905 15.8272 -0.0142479 -0.125591 0.99198 0.1361 0.982604 0.126358 -0.990593 0.136809 0.00309289
22 -4.2696 -3.25063 15.8954 -0.0430034 -0.150267 0.98771 0.114761 0.981337 0.154294 -0.992462 0.119986 -0.024956
23 -4.98091 -2.62733 16.2203 -0.00764208 -0.16972 0.985463 0.121861 0.977988 0.169378 -0.992518 0.121384 0.0132084
24 -5.97972 -2.58327 16.2413 0.0215254 -0.163357 0.986332 0.107415 0.981228 0.160167 -0.993981 0.102499 0.0386683
25 -6.936 -2.81783 16.416 0.00837777 -0.11818 0.992957 0.105163 0.987589 0.116654 -0.99442 0.103445 0.020702
26 -7.43184 -3.12401 17.2286 -0.0499979 -0.131091 0.990109 0.106676 0.984977 0.135798 -0.993036 0.112411 -0.0352624
27 -8.36891 -3.23377 16.8972 -0.0679023 -0.131543 0.988982 0.134734 0.98098 0.13973 -0.988552 0.142738 -0.0488874
28 -9.23765 -3.10789 16.4182 -0.149046 -0.0997663 0.983784 0.140622 0.982647 0.120956 -0.97878 0.15637 -0.132431
29 -10.2292 -3.06801 16.295 -0.222401 -0.110465 0.968677 0.144212 0.978904 0.144741 -0.964231 0.171886 -0.201779
30 -11.2047 -3.12892 16.0834 -0.307836 -0.123589 0.943378 0.140966 0.97466 0.173686 -0.940939 0.186451 -0.282614
31 -11.9215 -3.00446 15.3974 -0.347904 -0.114017 0.930571 0.170598 0.968307 0.182421 -0.921878 0.222219 -0.317427
32 -12.7956 -2.9297 14.9174 -0.415327 -0.109983 0.902999 0.154858 0.969626 0.189324 -0.896394 0.218468 -0.38568
33 -12.4911 -2.65602 14.0051 -0.521025 -0.0709161 0.85059 0.124659 0.979535 0.158026 -0.844389 0.188369 -0.501521
34 -13.4143 -2.93511 14.2693 -0.681717 -0.0455178 0.730199 0.137467 0.972317 0.18895 -0.718586 0.229189 -0.656587
35 -13.9358 -2.82076 13.4238 -0.756732 -0.0288135 0.65309 0.1434 0.96738 0.208837 -0.637803 0.251687 -0.727916
36 -14.7233 -2.79142 12.8081 -0.829994 -0.00939187 0.557694 0.139952 0.964366 0.224525 -0.53993 0.264405 -0.799103
37 -15.4431 -2.72843 12.1168 -0.884791 -0.0369862 0.464519 0.0833266 0.968221 0.235809 -0.458478 0.247348 -0.853591
